player_id,baseline_apm,ridge_rapm,lasso_rapm,elastic_rapm,player,total_minutes,games_played,avg_minutes,position,is_regular_starter,ft_pct,fg3_pct,fg_pct,fta_per_40,fg3a_per_40,stl_per_40,blk_per_40,pts_per_min,baseline_per40,ridge_per40,lasso_per40,elastic_per40,ridge_percentile,lasso_percentile,elastic_percentile
4397221,0.011777017859804036,0.0038298049689003476,0.0012165220832890853,0,Dominick Welch,3964,130,30.49230769230769,G,TRUE,0.7235961768219833,0.3517442186730887,0.3892273377942009,1.6857957583318481,7.153001049525733,1.1879363947800945,0.6348521752905998,0.30146864294342457,0.4710807143921614,0.1531921987560139,0.04866088333156341,0,100,94.32835820895522,8.486140724946695
4897300,4.983445320937237e-4,0.0029101114263911433,0,0,Isaac Mushila,2075,95,21.842105263157894,F,TRUE,0.7750161845769602,0.31468155500413564,0.4700307894586062,7.849246413620644,1.6420430912910338,1.732683948557565,0.19578844514990573,0.4376223278503101,0.01993378128374895,0.11640445705564573,0,0,99.95735607675907,9.76545842217484,8.486140724946695
4278450,0.00361598230962042,0.002831329579718778,0.002046473445893321,0.001288507273281523,David Kachelries,2036,97,20.989690721649485,G,TRUE,0.6919606234618539,0.30972915181753385,0.49204119850187267,2.208914350916395,5.132907029262842,1.7611001497610952,0.30715762949580433,0.3779258088287732,0.1446392923848168,0.1132531831887511,0.08185893783573284,0.05154029093126092,99.91471215351812,97.39872068230278,95.6503198294243
4278247,0.004518293321938507,0.002275674276943423,0.0011956588058559725,8.281714210088766e-4,Ra Kpedi,2359,127,18.5748031496063,F,TRUE,0.5702029677639434,NA,0.5896741018692238,4.614758534926637,0,0.6804590267317898,0.6698206140744299,0.27128902422115014,0.18073173287754027,0.09102697107773693,0.0478263522342389,0.03312685684035506,99.8720682302772,94.28571428571428,93.39019189765459
4397838,9.88051876537982e-4,0.002100082187165493,0,0,Josh Aldrich,2562,145,17.66896551724138,F,TRUE,0.7311173753034217,0.3434108527131783,0.41840752543173043,2.2547070290568145,3.209919059882744,0.7179802317588119,1.1305883841696132,0.22539156464644772,0.03952207506151928,0.08400328748661971,0,0,99.82942430703625,9.76545842217484,8.486140724946695
4066766,0.006341726445638991,0.0018686077380124996,0,0,Michael Almonacy,2201,83,26.518072289156628,G,TRUE,0.7679646986826424,0.3638584919339662,0.36505376344086016,2.712562326498066,7.0538833986191705,1.4822256385895718,0.09399082660152804,0.33626655438253006,0.25366905782555965,0.07474430952049999,0,0,99.7867803837953,9.76545842217484,8.486140724946695
4432879,0.006585422787938199,0.0018547954884695498,0.001620269758612142,7.588212533042641e-4,Isiaih Mosley,2862,104,27.51923076923077,G,TRUE,0.8569038072832103,0.3974055641674145,0.49294411304581537,4.121606258644391,5.329438162374283,1.4226150915868563,0.3474028525922904,0.5467628360609138,0.26341691151752794,0.07419181953878198,0.06481079034448568,0.030352850132170563,99.74413646055437,96.03411513859274,92.96375266524521
4278993,0.010077321150835058,0.0018537752075023903,0,0,Jalen Gibbs,3510,129,27.209302325581394,G,TRUE,0.7098337738529937,0.33834560857699525,0.3993051368213889,3.209849446984846,6.521407387687922,1.0387019627564182,0.020643224901299988,0.3582259825345399,0.40309284603340234,0.0741510083000956,0,0,99.70149253731343,9.76545842217484,8.486140724946695
4703521,0.004556178315827653,0.0018322727837535716,0.002491213067939107,0.0021177473313204105,Kaleb Thornton,2670,111,24.054054054054053,G,TRUE,0.6078755469129802,0.3406314897223988,0.4035189963819623,2.280968327341209,4.088498303070586,1.8511621499138948,0.16634250783004523,0.25676623462944503,0.18224713263310613,0.07329091135014286,0.09964852271756428,0.08470989325281642,99.6588486140725,98.37953091684435,97.95309168443497
4432856,0.006609499469539368,0.0017820528954812294,0.004941133165619596,0.0045072762059088665,Antavion Collum,2241,118,18.991525423728813,C,TRUE,0.6835571396993811,0.30877419993799304,0.41037871952248595,4.219886127274822,2.2467243548386575,1.2576376118365578,0.3185539507856352,0.33306591779134714,0.2643799787815747,0.07128211581924918,0.19764532662478382,0.18029104823635467,99.61620469083155,99.91471215351812,99.8720682302772
4278657,0.00498766503494135,0.0017535147751596711,0.0029727519943709394,0.00257063938962878,Holland Woods,4876,151,32.29139072847682,G,TRUE,0.8139908686257653,0.3170341675888591,0.402809740237716,5.232855186487201,5.141249451847456,1.8033473902437696,0.09090686800778872,0.3998824856932115,0.199506601397654,0.07014059100638684,0.11891007977483757,0.10282557558515121,99.57356076759062,99.23240938166312,98.97654584221749
4917149,-0.0050843195574043175,0.001705584344367607,0.004628776911107139,0.004613353560486672,Alex Karaban,2352,78,30.153846153846153,F,TRUE,0.8518518518518519,0.392,0.4892966360856269,1.8516930990141447,6.4294899271324475,0.9258465495070723,1.0287183883411917,0.37676810972996144,-0.2033727822961727,0.06822337377470428,0.18515107644428555,0.1845341424194669,99.53091684434968,99.8720682302772,99.95735607675907
4897493,0.003851050691160979,0.0016816785086269334,0.002131786957634415,0.0018587425311039224,Denver Jones,2534,94,26.95744680851064,G,TRUE,0.8638210108604846,0.38342600581599723,0.44420782286881066,5.5018952122601394,6.631760370299443,1.6154861616031087,0.10465142227847916,0.4948774517054316,0.15404202764643915,0.06726714034507733,0.0852714783053766,0.0743497012441569,99.48827292110875,97.56929637526652,97.39872068230278
