season,ridge_season,lasso_season,elastic_season,ridge_season_per40,lasso_season_per40,elastic_season_per40
2018,1.291433312442067e-4,4.1049819274247635e-7,0,0.005165733249768268,1.6419927709699053e-5,0
2019,-5.518289028273994e-5,-8.944209618232053e-5,-5.1080124070028494e-5,-0.0022073156113095976,-0.0035776838472928213,-0.00204320496280114
2020,4.075677826288618e-5,0,0,0.0016302711305154472,0,0
2021,-1.453963711675099e-4,-1.9516397337581302e-4,-1.5356957367073892e-4,-0.005815854846700396,-0.007806558935032521,-0.006142782946829557
2022,-1.5835976466559433e-4,-3.098541858725325e-4,-2.6465131141202087e-4,-0.0063343905866237735,-0.0123941674349013,-0.010586052456480834
2023,8.495775409692033e-5,0,0,0.003398310163876813,0,0
2024,6.460174369667274e-5,0,0,0.0025840697478669095,0,0
